id,chat_history,sys_response,situation,emotion,question or not,behavior
561,"[""I'm pleased with how much work I've gotten done today."", ""Good for you! It's always so satisfying to look back and see how much you've achieved."", ""Yes, I'm usually too tired by the time I'm finished though and just fall asleep....ha.""]",Nothing wrong with sleep - along with food it's what keeps us going! How many hours do you work?,I'm pleased with the amount of work I've done today.,impressed,ask me for further details,[None]
624,"[""I swear as I get older I need to take my time in getting dress. I'm afraid I'm going to be on one of those Walmart meme.  I've left home and before you know it I realize I have something on wrong."", ""Oh no! I always like to pick out what I'm wearing the night before. Maybe that would help?"", 'Funny you say that.  I just told my mom she needs to pick out her clothes for the week and church on Sundays to avoid being frustrated.  I think I should take my own advice.']",It really could help. I heard Einstein used to wear the same clothes everyday because it would help him stay focused on his studies!,"I'm not sure if it comes with age, but I have to make sure that I have my children make sure that I have my clothes and shoes on right.  One time, I left home with two different shoes on.  One of them black and the other blue.",embarrassed,[None],[None]
734,"[""At night, my neighbors dog keeps barking and barking and I have no idea why. I've avoided bringing it up to him, but I'm trying to avoid drama."", 'That must be annoying, what kind of dog?', ""It's a little terrier, but man can that thing bark! I don't know how my neighbor doesn't hear him.""]",Maybe try asking the neighbor about him?,"My neighbors dog does not shut up at night and it's agitating me. I've been avoiding bringing it up to him, but it's getting to me n ow.",annoyed,ask me for further details,[None]
759,"[""I had to leave my dog at the vet overnight, so they can run some tests. She hasn't been eating much lately, and she's just been really lackadaisical and lazy. I don't think I'll be able to sleep tonight, knowing she's there in a weird environment, all alone"", ""Aw, I'm sorry to hear that, is she getting up there in age?"", ""She's almost 10, yeah. I know sometimes you just have to let go. But she was fine a few days ago! I'm still holding on to the idea that it's nothing. We'll see!""]",Hopefully they will diagnose her correctly and she becomes her normal self. Fingers crossed!,"I had to leave my dog at the vet overnight, so they can run some tests. She hasn't been eating much lately, and she's just been really lackadaisical and lazy. I don't think I'll be able to sleep tonight, knowing she's there in a weird environment, all alone.",terrified,[None],[None]
1043,"['i was driving down the road when this car was speeding towards me, nearly hit me head on', 'Oh my!  I am glad to hear you managed to avoid the collision.', 'people will never learn not to speed']",Young people never appreciate the danger of speeding.,this car nearly hit me head on while driving down the freeway at a medium speed,apprehensive,[None],[None]
1090,"['Man, I was sitting alone at 3am last night with the lights off. Felt spooky', 'I can imagine.  I hate being out alone at those kinds of hours.  I try to avoid it.', ""Yeah, it wouldn't be so bad if I was with someone, but you know how it is. When the lights are out and no one is around, you feel lonely""]",I get that feeling.  Something about the dark just feels so depressing sometimes.,Sitting at a computer at 3am with the lights off alone.,lonely,[None],"I'm in a negative mood, please comfort me."
1136,"['Im not sure if this has happened at a job you have had, but it gets me so annoyed when the boss keeps useless employees around just because they suck up to him']","That's the worst, who's he keeping around?",when my boss keeps lazy workers around,jealous,ask me for further details,"I'm in a negative mood, please comfort me."
1235,['Last week I was at the park with my kid and got distracted by my phone. I looked up and my daughter was gone! My stomach dropped and became really scared. Luckily I found her in the tube slide.'],"oh god that's worse than thinking you lost your phone for a second, i am aware of the feeling, how are you feeling now",Last week I was at the park with my kid and got distracted by my phone.  I looked up and my daughter was gone!  My stomach dropped and became really scared.  Luckily I found her in the tube slide.,terrified,[None],"I'm in a negative mood, please comfort me."
1322,['I have a lot of nerves today!'],"Hm, thats not good. How so, if I may ask?","I have a lot of nerves today! I am sick a lot in my health and I can't seem to figure out what sets off my fibro a lot, it gives me anxiety and depression and I am just so overwhelmed with it I don't know what to do anymore!",anxious,ask me for further details,[None]
1548,"['I get so ticked off when I see people leave their shopping carts in the parking lot. How lazy are these people!', ""That is very true! I dono't understand why people doe that!"", 'I want to yell at them and tell them they are inconsiderate. The nerve of it!']",Yeah they deserve it!,I get so mad when I see lazy people not return their grocery carts. How inconsiderate of them. I want to yell at them.,furious,[None],"I'm in a positive mood, please congratulate me and praise me."
1671,"['Yesterday was a great lazy day.  I did nothing but sit outside in the sun and read a book.  It was completely happy', 'That sounds like a wonderful time. I wish I had the time for that!', 'It is always a good idea to make time for some me time.  It helps relax and clear your head.']",That's very true.,Yesterday I did nothing but sit outside and read a book.  I was completely relaxed all day,content,[None],"I'm in a positive mood, please congratulate me and praise me."
1692,"[""Someone had to walk into the bathroom after I had used it and made it smell really badly. As I was leaving, they made a comment about how bad it smelled, and I couldn't help but cringe"", 'I am sorry to hear that, it is pretty embarassing to be in situations like that', ""I know... nothing I could have avoided. Either that, or soil myself in public. Yeah, easy choice. I guess we all have those experiences from time to time. I will never eat spicy Indian food again, unless it's at home.""]","Haha I hear you there, that stuff is potent","Someone had to walk into the bathroom after I had used it and made it smell really badly. As I was leaving, they made a comment about how bad it smelled, and I couldn't help but cringe.",embarrassed,[None],[None]
